x y z rvir redshift log_sSFR color
-0.05269 0.03600 0.66726 0.00228 0.02234 -10.86 blue
-0.23662 0.06061 0.77613 0.00166 0.02702 -10.32 blue
-0.18149 0.05798 0.68053 0.00112 0.02353 -9.25 blue
-0.11661 0.04993 0.65905 0.00119 0.02237 -9.70 blue
-0.10900 0.05963 0.73992 0.00299 0.02496 -10.89 blue
-0.11603 0.06128 0.81706 0.00105 0.02747 -9.63 blue
-0.12852 0.06888 0.76897 0.00107 0.02601 4.18 blue
-0.22080 0.01099 0.58945 0.00114 0.02100 -9.28 blue
-0.28978 0.02398 0.77702 0.00088 0.02754 -9.86 blue
-0.09469 0.03807 0.70122 0.00175 0.02359 nan blue
-0.10089 0.03906 0.64286 0.00076 0.02174 nan blue
-0.10847 0.04695 0.69268 0.00089 0.02340 -9.32 blue
-0.14171 0.05994 0.72850 0.00147 0.02477 -11.19 blue
-0.11809 0.04412 0.62825 0.00093 0.02137 -9.87 blue
-0.12854 0.06574 0.67547 0.00091 0.02301 -9.49 blue
-0.14058 0.05933 0.80064 0.00090 0.02707 -9.41 blue
-0.12270 0.05265 0.75452 0.00311 0.02548 -11.11 blue
-0.12562 0.05893 0.69821 0.00065 0.02370 -8.06 blue
-0.11796 0.05445 0.74963 0.00163 0.02530 -11.42 blue
-0.10283 0.06101 0.70628 0.00150 0.02385 -11.31 blue
-0.08924 0.03853 0.56958 0.00073 0.01930 -9.08 blue
-0.10684 0.04158 0.67881 0.00309 0.02293 -10.65 blue
0.23129 0.05108 0.78937 0.00103 0.02736 -9.41 blue
-0.08811 0.03796 0.56055 0.00074 0.01900 -7.88 blue
-0.10459 0.03936 0.66227 0.00094 0.02238 -12.85 red
0.17676 0.03241 0.63242 0.00248 0.02192 -10.29 blue
0.12318 0.04503 0.65680 0.00091 0.02232 -9.37 blue
-0.17117 0.06693 0.69104 0.00101 0.02380 -10.22 blue
0.18753 0.02128 0.76534 0.00108 0.02620 -9.71 blue
0.18746 0.02955 0.78397 0.00127 0.02679 -9.71 blue
0.20058 0.04686 0.79072 0.00101 0.02713 -9.19 blue
-0.05688 -0.07357 0.66198 0.00132 0.02228 -9.60 blue
0.13724 0.03820 0.61954 0.00084 0.02120 -9.11 blue
0.16550 0.06570 0.69817 0.00115 0.02398 -10.49 blue
0.12975 0.02578 0.58473 0.00105 0.02001 -9.65 blue
-0.13414 0.05187 0.67659 0.00106 0.02304 -9.53 blue
-0.12020 0.04374 0.61173 0.00140 0.02085 -11.07 blue
-0.14880 0.06718 0.77140 0.00092 0.02620 -9.59 blue
-0.11165 0.04476 0.70794 0.00107 0.02390 -9.05 blue
0.12509 0.04772 0.69164 0.00098 0.02346 -9.66 blue
-0.10125 0.04338 0.60381 0.00110 0.02048 -11.93 red
-0.11911 0.06060 0.72509 0.00379 0.02453 -11.17 blue
0.07800 0.02502 0.62955 0.00086 0.02118 -9.15 blue
-0.28776 -0.06430 0.72387 0.00084 0.02598 -8.08 blue
0.09412 0.05417 0.66998 0.00107 0.02261 -9.43 blue
0.00808 -0.00969 0.66826 0.00140 0.02228 -10.49 blue
0.05224 0.06751 0.82810 0.00118 0.02764 -9.71 blue
-0.12815 0.04883 0.81064 0.00043 0.02730 nan blue
-0.10620 0.04113 0.67172 0.00047 0.02270 nan blue
-0.22893 0.05478 0.75987 0.00122 0.02643 -9.68 blue
0.04845 0.05149 0.80814 0.00094 0.02694 -9.07 blue
0.06856 0.05031 0.81208 0.00151 0.02712 -10.51 blue
-0.23392 0.07316 0.76729 0.00117 0.02676 -10.27 blue
