NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
427000 196.729000 28.548042 0.02089 10.66 0.35 0.00 2.40880 -11.11 red
426916 197.694256 28.642168 0.02608 9.61 -20517836940306.16 -99.00 1.18511 nan blue
427584 194.837625 28.441494 0.02189 9.42 26824134475643.26 -99.00 1.10731 4.00 blue
426920 197.440791 28.621155 0.02262 9.80 0.16 0.00 1.28168 -10.59 red
427596 194.875493 28.700135 0.02368 9.33 0.04 0.00 1.06926 -10.72 red
427021 196.205381 28.661192 0.02619 9.68 0.00 1.00 1.21595 -12.51 red
671846 194.210887 28.929826 0.02700 10.53 0.61 0.00 2.02714 -10.75 red
427669 193.795270 29.578251 0.02488 10.41 0.00 1.00 1.79845 -12.90 red
427595 195.018350 28.603520 0.02274 10.08 0.01 0.00 1.45635 -12.11 red
427010 196.572077 29.063186 0.02338 10.74 0.02 1.00 2.73510 -12.45 red
426906 198.397029 29.126551 0.01995 9.73 0.18 0.00 1.24446 -10.48 blue
426926 197.301416 28.467641 0.02547 9.27 0.07 0.00 1.04432 -10.41 blue
427033 196.154424 29.146691 0.01937 8.87 0.07 0.00 0.91352 -10.01 blue
427088 196.906797 29.926802 0.02536 8.98 0.17 0.00 0.94618 -9.74 blue
672706 195.670000 28.371280 0.02473 10.53 0.53 0.00 2.03588 -10.81 red
427608 194.445993 29.149500 0.02386 10.30 0.27 0.00 1.65794 -10.88 red
427634 194.084798 29.300758 0.02213 10.08 0.01 0.00 1.45414 -12.02 red
426962 196.991219 28.710623 0.02524 10.53 0.16 0.00 2.03229 -11.32 red
426973 197.009927 28.251402 0.02509 9.89 59558786999373.56 -99.00 1.33210 3.88 blue
427716 194.845067 29.887864 0.02470 9.74 0.16 0.00 1.24994 -10.55 red
427515 195.536105 28.387092 0.02527 10.61 0.38 0.00 2.24792 -11.03 red
427525 195.361212 28.435869 0.01922 9.42 0.04 0.00 1.10740 -10.82 red
427533 195.430532 29.178346 0.02344 9.60 0.03 0.00 1.18198 -11.09 red
427588 195.007661 28.434808 0.02699 9.81 128182626952287.41 -99.00 1.28329 4.30 blue
429555 205.340652 28.942806 0.02770 9.71 1.29 0.00 1.23124 -9.60 blue
426995 196.666267 28.517492 0.02617 9.73 0.20 0.00 1.24196 -10.43 blue
427006 196.243264 29.122232 0.01974 11.01 0.75 0.00 4.63347 -11.14 red
427011 196.589421 29.170109 0.02429 10.07 0.51 0.00 1.44750 -10.36 blue
427766 195.517496 29.253451 0.02432 10.81 0.46 0.00 3.08620 -11.14 red
427507 195.648103 28.745173 0.02040 9.57 0.02 0.00 1.17097 -11.23 red
672025 194.616019 28.974140 0.02380 10.11 0.10 0.00 1.47999 -11.11 red
427603 194.279180 28.958345 0.02748 9.28 28095902510682.77 -99.00 1.04944 4.16 blue
427614 194.538444 28.708590 0.02537 10.47 2.16 0.00 1.89832 -10.13 blue
427620 194.580636 28.698471 0.01930 9.31 18046071276337.15 -99.00 1.06556 3.94 blue
427657 193.844052 28.467901 0.02342 10.30 0.07 0.00 1.65738 -11.45 red
