NSAID x y z rvir redshift log_sSFR color
480948 -0.03481 0.02933 0.69777 0.90595 0.02329 -10.00 blue
481309 -0.03910 0.02008 0.59749 1.58375 0.02000 -11.09 red
481376 -0.05202 0.04034 0.71441 0.78127 0.02388 -9.21 blue
481383 -0.05199 0.03614 0.73127 1.05408 0.02442 -9.83 blue
629615 -0.12614 0.06886 0.80638 0.79725 0.02720 -9.70 blue
629616 -0.11398 0.04556 0.72066 0.90563 0.02433 -9.90 blue
481219 -0.05558 0.02689 0.58020 0.96196 0.01949 -9.00 blue
480927 -0.04740 0.02626 0.71519 1.11994 0.02388 4.32 blue
481693 -0.08124 0.02779 0.62307 1.55780 0.02098 -10.64 red
481262 -0.05537 0.03356 0.76854 0.91593 0.02564 -10.84 red
481311 -0.03947 0.01919 0.61933 1.03202 0.02072 -12.77 red
481345 -0.04043 0.03632 0.72939 1.08576 0.02434 -9.77 blue
481228 -0.05668 0.02420 0.67462 1.36375 0.02257 -10.92 red
481254 -0.05625 0.02778 0.71520 1.03803 0.02390 -10.82 red
481887 -0.06882 0.04044 0.74070 0.85438 0.02478 -10.12 blue
481950 -0.07307 0.03288 0.65796 1.96989 0.02209 -12.26 red
481691 -0.10198 0.03523 0.79068 1.22088 0.02651 -11.75 red
481557 -0.05327 0.06618 0.77977 0.88013 0.02607 -9.54 blue
481863 -0.06189 0.04201 0.72603 1.50759 0.02429 -10.72 red
481934 -0.07259 0.03997 0.68764 1.49871 0.02307 -10.75 red
481619 -0.05250 0.06423 0.69407 0.84591 0.02328 -11.04 red
482419 -0.12022 0.04024 0.76173 1.04366 0.02567 -10.59 red
482523 -0.09507 0.03713 0.70819 0.97127 0.02382 4.15 blue
481774 -0.06859 0.02654 0.58419 1.13596 0.01966 -11.13 red
481836 -0.06066 0.02812 0.65337 1.81051 0.02190 -10.55 red
671869 -0.11518 0.04371 0.77517 1.04420 0.02609 -11.23 red
482753 -0.13038 0.04850 0.81677 1.26924 0.02751 -10.20 blue
482789 -0.09369 0.03270 0.57827 1.08518 0.01959 -12.95 red
482813 -0.11418 0.03293 0.62211 1.06486 0.02113 3.99 blue
482827 -0.09367 0.03202 0.57979 1.51573 0.01964 -12.28 red
482861 -0.10597 0.02312 0.68721 1.19856 0.02317 -10.69 red
482113 -0.08067 0.05717 0.70788 1.02511 0.02379 -9.71 blue
482610 -0.08793 0.04122 0.62474 0.97239 0.02109 -11.81 red
482958 -0.10358 0.04236 0.73003 2.71367 0.02457 -12.17 red
482650 -0.09137 0.03737 0.62374 1.02343 0.02107 -12.59 red
483012 -0.10783 0.04682 0.71490 1.73791 0.02411 -11.19 red
482670 -0.08622 0.03319 0.56985 1.14666 0.01928 -11.35 red
482746 -0.11198 0.04402 0.70810 9.84212 0.02391 -10.95 red
483152 -0.10568 0.04230 0.65036 1.39828 0.02201 -10.97 red
482772 -0.09299 0.03689 0.58115 1.27426 0.01969 -10.74 red
483153 -0.09392 0.03707 0.57121 1.01014 0.01937 -10.85 red
483207 -0.10920 0.04004 0.62424 1.86919 0.02118 -11.03 red
483143 -0.11055 0.04411 0.67115 1.11150 0.02271 -12.82 red
482457 -0.11148 0.03136 0.79717 1.28355 0.02676 3.53 blue
482530 -0.08066 0.01948 0.60776 1.58060 0.02047 -11.25 red
483407 -0.11045 0.03877 0.62739 1.15937 0.02129 -10.78 red
483320 -0.11772 0.01841 0.64100 1.64903 0.02174 -10.08 blue
482633 -0.10307 0.04116 0.71807 1.05479 0.02418 4.05 blue
482687 -0.11563 0.04104 0.74970 1.35573 0.02526 -10.66 red
482696 -0.11647 0.05102 0.75469 1.26989 0.02545 -12.58 red
445273 -0.18639 0.07685 0.69285 1.03722 0.02402 -9.92 blue
482704 -0.08644 0.03563 0.56193 1.27493 0.01903 -10.69 red
482727 -0.12435 0.05376 0.79160 1.30774 0.02668 -13.06 red
482739 -0.10628 0.04211 0.67291 3.39193 0.02274 -9.41 blue
483471 -0.11459 0.03888 0.61584 1.43938 0.02094 -10.17 blue
482768 -0.12025 0.04894 0.75623 1.19045 0.02551 -13.08 red
483485 -0.14247 0.04259 0.74555 1.45864 0.02528 -11.54 red
482865 -0.11777 0.03544 0.76478 1.22326 0.02575 -11.23 red
482900 -0.12264 0.04352 0.81759 5.91954 0.02749 -11.47 red
484564 -0.25916 0.03653 0.78205 1.42640 0.02738 -11.91 red
672358 -0.12261 0.04860 0.75639 1.43478 0.02553 -9.81 blue
483949 -0.17881 0.04128 0.71207 1.14450 0.02447 -9.59 blue
439741 -0.24911 0.09263 0.77140 1.06538 0.02710 4.30 blue
629828 -0.10812 0.04956 0.59473 1.59693 0.02024 -9.00 blue
484288 -0.20475 0.02196 0.73916 0.97425 0.02551 -10.14 blue
676280 -0.22359 0.03768 0.72863 1.78651 0.02537 -10.06 blue
