NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color filID filNgal0p5 filNgal1p0
626600 172.073840 2.653933 0.02293 10.96 5.10 0.00 4.12955 -10.25 blue -99 -99 -99
593900 204.084190 7.246575 0.02338 8.95 -2245146714531092.50 -99.00 0.93768 nan blue -99 -99 -99
694094 198.848336 12.895084 0.02553 10.21 2.52 0.00 1.56576 -9.81 blue -99 -99 -99
545696 205.943948 18.023620 0.02659 10.46 1.67 0.00 1.87385 -10.23 blue -99 -99 -99
631404 213.411287 7.660175 0.02429 11.04 2.39 0.00 4.87466 -10.66 red -99 -99 -99
602330 145.773946 48.419681 0.02538 9.94 -2558399596771382.50 -99.00 1.36173 nan blue -99 -99 -99
602725 181.835587 17.261568 0.02241 10.66 4.27 0.00 2.39492 -10.03 blue -99 -99 -99
539203 189.906264 16.588506 0.02603 10.00 0.96 0.00 1.40052 -10.02 blue -99 -99 -99
610786 169.849419 25.009267 0.02657 9.95 -3038605070817869.00 -99.00 1.36836 nan blue -99 -99 -99
611574 202.668162 32.960511 0.02444 10.12 2.65 0.00 1.49022 -9.70 blue -99 -99 -99
126 145.647914 -0.771731 0.02165 9.60 0.52 0.00 1.18483 -9.89 blue 7535 4 4
648707 145.800261 0.414187 0.02525 10.53 2.77 0.00 2.02418 -10.09 blue 4679 3 3
98 146.282996 0.064146 0.02158 9.08 0.01 0.00 0.98134 -11.21 red 7535 4 4
357 147.305537 0.217513 0.02000 9.02 0.16 0.00 0.96002 -9.81 blue 7516 3 5
356 147.192919 0.271926 0.02016 9.63 1.24 0.00 1.19851 -9.54 blue 7516 3 5
34 146.856764 -0.274097 0.02196 8.88 0.28 0.00 0.91409 -9.43 blue 7535 4 4
243 145.775130 0.320241 0.02492 8.55 0.37 0.00 0.81822 -8.98 blue 4679 3 3
87 146.300913 0.035485 0.02176 9.59 0.79 0.00 1.17595 -9.69 blue 7535 4 4
240 145.826591 0.373119 0.02156 9.51 0.33 0.00 1.14216 -9.99 blue 7535 4 4
310 146.806842 0.665588 0.02008 10.36 0.57 0.00 1.74291 -10.61 red 7516 3 5
85 146.323175 -0.029944 0.02171 8.99 0.11 0.00 0.95124 -9.96 blue 7535 4 4
99 146.231868 0.068220 0.02161 10.63 0.23 0.00 2.29282 -11.26 red 7535 4 4
