NSAID smallestImpact
68109 4979.2
678010 4597.2
72703 2590.4
667474 1809.5
67540 3643.9
72768 3171.1
67551 3861.9
70769 2976.8
70345 3269.0
72447 6242.0
68343 2186.8
72716 3995.3
72683 4546.9
70043 4072.8
674255 3904.2
71426 7591.0
67901 4825.4
67906 6065.0
71084 4439.5
71048 5092.6
680296 3120.5
68083 4098.5
674474 5009.2
68939 2468.2
72883 3803.2
73435 3091.6
68944 2488.3
46278 9802.9
73391 3574.5
69969 6171.6
66465 932.6
73429 3320.2
47697 3034.3
45964 10399.5
72342 4671.7
677974 5166.1
68559 2377.9
73743 3812.9
74092 1607.5
68619 1723.6
60069 6804.7
73768 2704.6
68723 2086.5
70874 4227.7
73365 3072.6
70613 6907.0
68854 2164.3
74010 2822.1
72410 4660.7
46686 6207.0
72718 4145.2
69774 6194.1
72742 2491.1
72622 4355.2
69110 378.5
74687 4108.6
70013 4567.6
631537 4462.4
70028 4418.2
74320 4179.8
46103 7933.6
60804 8528.0
73242 4324.8
71633 5302.1
60927 5809.3
47467 1007.9
74694 4832.5
70111 3987.8
74704 3969.3
73428 2993.6
67326 7679.6
47509 529.2
74737 4489.7
67526 4162.2
47597 1239.0
47718 2433.7
71638 5333.4
78151 7665.4
68082 3964.8
71790 5286.7
68153 5102.8
75406 15790.2
70494 1376.5
70690 3663.6
47604 1447.7
72394 5489.2
74017 1169.0
74278 2192.4
74093 1210.1
67909 5874.1
78943 4716.1
74337 3518.5
68014 5424.8
71419 8342.2
72435 4987.0
76493 6005.9
14020 2208.5
76686 4769.8
76750 5656.3
73327 2236.4
73373 3475.4
68950 2826.5
77135 3452.2
71919 3365.4
73713 4232.2
73790 2170.6
75141 1398.7
676431 3623.6
46531 5914.2
47589 1236.4
69108 520.7
80420 2694.7
80486 5307.4
647338 4707.8
70280 3509.5
74309 2844.4
50529 5573.0
78592 5514.7
47883 3711.9
76461 6213.1
72684 4613.0
72713 3168.1
51272 7772.3
78648 6736.7
76507 5612.2
73081 784.7
48086 1637.2
72958 2315.1
71653 5224.6
73320 2807.0
71885 3599.0
77179 4972.5
71933 4742.0
14665 6848.5
75376 14653.4
79625 5065.1
75377 14610.5
82402 1828.7
79803 3629.4
73761 2698.9
82638 3844.4
80752 6973.2
648446 1905.6
71838 3901.1
80326 1819.7
81620 4822.0
51668 5958.0
50507 5598.8
78890 6008.0
76694 5952.0
80729 8537.7
66265 3960.6
78906 4770.6
66308 2402.1
79119 1297.6
73213 4695.6
79283 4200.5
80836 5626.2
73398 3236.5
72953 2398.9
74923 4602.4
82544 3399.1
73224 3566.0
73292 3477.9
83038 2818.3
73817 1228.3
73760 2933.4
80298 3019.6
57921 3000.4
85488 4862.5
57944 2408.0
82199 6143.9
80789 7457.2
51110 6584.1
86056 3479.9
82882 2831.5
67975 4538.1
51274 6710.4
81129 4958.8
77151 4460.5
51551 6915.0
80360 642.0
68290 1138.7
86467 4091.7
82608 3343.9
81514 7455.2
80621 4052.4
81450 3185.5
81623 4806.6
79042 5015.3
58280 3008.3
80851 5737.5
81602 4688.2
84822 7898.0
