name x1 y1 z1 x2 y2 z2 RA DEC
7C-163119.39+393037.00 -0.04242 0.02587 0.03580 -0.10653 0.06495 0.08989 248.258774 39.407612
87GB-142519.5+264555 -0.02932 0.00447 0.05358 -0.07362 0.01122 0.13454 216.898331 26.537403
87GB-153746.8+142023 -0.04580 -0.00294 0.04055 -0.11501 -0.00738 0.10181 235.032700 14.193645
CSO1022 -0.01991 0.01301 0.05643 -0.05000 0.03268 0.14170 208.359039 36.347027
CSO1080 -0.03544 0.01013 0.04891 -0.08898 0.02544 0.12281 226.365005 29.788439
CSO1245 0.00424 0.01805 0.05836 0.01065 0.04533 0.14656 179.125336 42.881863
CSO712 -0.02269 0.03377 0.04577 -0.05697 0.08481 0.11493 225.127701 55.285778
FBQS.J1252+2913 -0.00795 0.00389 0.06060 -0.01997 0.00977 0.15216 193.104126 29.222553
FBQS.J130451.4+245445 -0.01123 -0.00047 0.06020 -0.02820 -0.00119 0.15116 196.214203 24.912752
FBQSJ1010+3003 0.02812 0.00804 0.05380 0.07062 0.02018 0.13510 152.502914 30.056110
FBQSJ103059.1+310255 0.02366 0.00803 0.05591 0.05940 0.02017 0.14040 157.746231 31.048834
FBQSJ1519+2838 -0.03824 0.00997 0.04678 -0.09602 0.02504 0.11748 229.900604 28.641010
FBS1526+659 -0.01845 0.04287 0.03965 -0.04634 0.10765 0.09956 231.869370 65.802780
FIRSTJ09086+3246 0.03790 0.01465 0.04582 0.09516 0.03679 0.11506 137.161667 32.772362
HB89.1258+285 -0.01001 0.00309 0.06034 -0.02514 0.00775 0.15151 195.253586 28.329088
HB89.1259+281 -0.01016 0.00259 0.06034 -0.02552 0.00650 0.15150 195.367249 27.851826
HS1024+1849 0.02694 -0.00484 0.05478 0.06766 -0.01215 0.13756 156.892227 18.574331
HS1102+3441 0.01572 0.01025 0.05829 0.03947 0.02575 0.14637 166.415833 34.426224
HS1111+4309 0.01241 0.01874 0.05697 0.03117 0.04705 0.14305 168.488998 42.890640
HS1700+6416 -0.02515 0.04580 0.03194 -0.06316 0.11499 0.08021 255.252563 64.202515
ICRF-J122011.8+020342 -0.00054 -0.02467 0.05605 -0.00135 -0.06196 0.14073 185.049515 2.061728
J080704.88+360353.5 0.04402 0.02259 0.03609 0.11054 0.05672 0.09062 121.770363 36.064873
J083220.08+243100.5 0.04644 0.00947 0.03878 0.11662 0.02377 0.09737 128.083664 24.516819
J083331.57+523405.4 0.03092 0.03475 0.03984 0.07764 0.08725 0.10003 128.381561 52.568176
J084159.13+140642.1 0.04808 -0.00175 0.03789 0.12073 -0.00439 0.09514 130.496399 14.111719
J084349.75+261910.7 0.04418 0.01025 0.04115 0.11093 0.02574 0.10334 130.957291 26.319664
J091728.56+271951.0 0.03859 0.00860 0.04677 0.09690 0.02161 0.11743 139.369019 27.330841
J1004P0513 0.03363 -0.01715 0.04822 0.08444 -0.04306 0.12109 151.083878 5.216778
J101730.98+470225.0 0.02097 0.02463 0.05200 0.05266 0.06184 0.13057 154.379089 47.040302
J102056.37+100332.7 0.02952 -0.01327 0.05199 0.07413 -0.03333 0.13054 155.234879 10.059109
J102512.86+480853.2 0.01934 0.02538 0.05227 0.04855 0.06373 0.13125 156.303589 48.148121
J102847.00+391800.4 0.02177 0.01658 0.05478 0.05467 0.04163 0.13757 157.195877 39.300140
J104241.27+250122.8 0.02246 0.00121 0.05696 0.05640 0.00305 0.14303 160.671967 25.023016
J104335.86+115129.1 0.02404 -0.01259 0.05490 0.06037 -0.03161 0.13785 160.899460 11.858091
J104709.83+130454.6 0.02307 -0.01148 0.05555 0.05794 -0.02884 0.13949 161.790985 13.081853
J105220.63+101751.7 0.02205 -0.01457 0.05524 0.05536 -0.03659 0.13872 163.085968 10.297697
J110236.65+052117.0 0.01975 -0.01998 0.05442 0.04958 -0.05018 0.13664 165.652740 5.354744
J110631.05+351051.3 0.01540 0.01102 0.05824 0.03867 0.02766 0.14624 166.629395 35.180923
J110631.05+351051.3-COPY 0.01540 0.01102 0.05824 0.03867 0.02766 0.14624 166.629395 35.180923
J112439.42+113117.2 0.01389 -0.01442 0.05788 0.03488 -0.03620 0.14533 171.164291 11.521447
J112632.91+120437.3 0.01338 -0.01389 0.05812 0.03360 -0.03488 0.14595 171.637161 12.077053
J1127+1154 0.01303 -0.01410 0.05815 0.03272 -0.03541 0.14602 171.986542 11.907534
J113325.77+242327.8 0.01082 -0.00107 0.06027 0.02718 -0.00268 0.15133 173.357407 24.391071
J113524.05+074502.5 0.01126 -0.01854 0.05727 0.02828 -0.04655 0.14381 173.850220 7.750700
J114046.06+113649.5 0.00975 -0.01468 0.05865 0.02449 -0.03687 0.14727 175.191925 11.613772
J114434.72+070516.4 0.00888 -0.01939 0.05741 0.02230 -0.04868 0.14415 176.144699 7.087917
J114903.47+220424.3 0.00719 -0.00381 0.06070 0.01807 -0.00956 0.15241 177.264481 22.073437
J115709.77+090607.3 0.00554 -0.01751 0.05842 0.01391 -0.04396 0.14670 179.290710 9.102031
J115722.44+114040.7 0.00544 -0.01486 0.05916 0.01366 -0.03731 0.14855 179.343506 11.677972
J120917.35+261613.1 0.00213 0.00050 0.06120 0.00536 0.00125 0.15368 182.322311 26.270311
J122137.93+043026.1 -0.00092 -0.02226 0.05704 -0.00230 -0.05589 0.14324 185.408081 4.507253
J122330.78+154507.3 -0.00137 -0.01070 0.06028 -0.00344 -0.02687 0.15137 185.878250 15.752048
J123113.12+120307.2 -0.00340 -0.01454 0.05939 -0.00854 -0.03650 0.14914 187.804703 12.052000
J1243+3539 -0.00540 0.01058 0.06008 -0.01357 0.02657 0.15085 190.781555 35.652000
J130100.86+281944.7 -0.01001 0.00309 0.06034 -0.02514 0.00775 0.15151 195.253601 28.329092
J131447.07+260624.1 -0.01344 0.00103 0.05974 -0.03375 0.00259 0.15000 198.696121 26.106720
J133912.37+535527.3 -0.01248 0.02982 0.05201 -0.03135 0.07487 0.13061 204.801559 53.924271
J134356.74+253847.6 -0.02018 0.00148 0.05780 -0.05067 0.00370 0.14514 205.986435 25.646580
J134447.56+554656.8 -0.01271 0.03164 0.05087 -0.03190 0.07945 0.12774 206.198166 55.782448
J134854.76+430309.1 -0.01725 0.01965 0.05538 -0.04333 0.04933 0.13905 207.228195 43.052528
J135426.08+144151.4 -0.02415 -0.00957 0.05546 -0.06064 -0.02404 0.13925 208.608688 14.697634
J140854.17+565743.3 -0.01551 0.03333 0.04898 -0.03894 0.08370 0.12298 212.225708 56.962044
J141505.91+044546.1 -0.02980 -0.01862 0.05016 -0.07482 -0.04676 0.12594 213.774628 4.762819
J141949.39+060654.0 -0.03082 -0.01700 0.05011 -0.07739 -0.04270 0.12584 214.955795 6.115011
J1419P3203 -0.02617 0.00973 0.05451 -0.06570 0.02442 0.13687 214.819626 32.050804
J142127.85+473011.7 -0.02119 0.02517 0.05165 -0.05322 0.06320 0.12969 215.366074 47.503250
J142455.53+421407.6 -0.02381 0.02025 0.05266 -0.05980 0.05084 0.13224 216.231384 42.235455
J142613.31+195524.6 -0.03052 -0.00248 0.05304 -0.07663 -0.00623 0.13318 216.555496 19.923525
J142614.79+004159.4 -0.03246 -0.02194 0.04706 -0.08151 -0.05510 0.11818 216.561661 0.699850
J142859.03+322506.8 -0.02793 0.01060 0.05346 -0.07012 0.02662 0.13424 217.245972 32.418560
J143145.98+030143.8 -0.03366 -0.01933 0.04737 -0.08452 -0.04853 0.11895 217.941620 3.028856
J143216.78+095519.2 -0.03331 -0.01241 0.04987 -0.08365 -0.03116 0.12521 218.069916 9.922017
J144625.07+035503.6 -0.03682 -0.01747 0.04571 -0.09245 -0.04387 0.11478 221.604462 3.917675
J1456P2750 -0.03444 0.00753 0.05008 -0.08647 0.01892 0.12574 224.036041 27.835751
J152447.75+041919.8 -0.04441 -0.01410 0.03974 -0.11151 -0.03542 0.09979 231.198990 4.322183
J153314.28+150103.0 -0.04448 -0.00270 0.04201 -0.11169 -0.00678 0.10549 233.309525 15.017522
J1544P2827 -0.04218 0.01170 0.04283 -0.10591 0.02938 0.10755 236.127167 28.465778
J155821.86+120533.2 -0.04908 -0.00340 0.03647 -0.12323 -0.00853 0.09158 239.591095 12.092564
J155837.78+081345.7 -0.04971 -0.00721 0.03503 -0.12483 -0.01811 0.08795 239.657425 8.229386
J155855.34+125555.3 -0.04900 -0.00251 0.03665 -0.12304 -0.00630 0.09202 239.730621 12.932031
J161723.67+085414.7 -0.05229 -0.00472 0.03152 -0.13130 -0.01186 0.07916 244.348618 8.904098
LBQS-1435-0134 -0.03502 -0.02358 0.04436 -0.08795 -0.05922 0.11138 219.451187 -1.786328
MCG+10-22-028 -0.02513 0.03736 0.04151 -0.06311 0.09381 0.10423 234.541870 57.603611
MRK-1253 0.03025 -0.02635 0.04627 0.07597 -0.06617 0.11618 154.886917 -3.337500
MRK106 0.02443 0.03455 0.04427 0.06134 0.08676 0.11116 139.980667 55.360397
MRK1392 -0.04084 -0.01624 0.04264 -0.10256 -0.04077 0.10708 226.485641 3.707281
MRK486 -0.02705 0.03489 0.04244 -0.06792 0.08760 0.10658 234.160416 54.558887
MRK504 -0.05036 0.01940 0.02894 -0.12646 0.04871 0.07268 255.282501 29.406944
MRK817 -0.01799 0.03576 0.04634 -0.04398 0.08743 0.11328 219.091965 58.794250
MRK841 -0.03987 -0.00967 0.04546 -0.10012 -0.02429 0.11416 226.005005 10.437834
MRK876 -0.02157 0.04459 0.03601 -0.05417 0.11197 0.09042 243.488586 65.719498
MS1217.0+0700 -0.00035 -0.02004 0.05787 -0.00088 -0.05031 0.14531 184.878662 6.726139
NPM1G+68.0125 -0.01539 0.04392 0.03980 -0.03865 0.11029 0.09995 227.220001 68.235275
PG-1148+549 0.00414 0.02961 0.05344 0.01041 0.07435 0.13420 177.835251 54.625854
PG-1206+459 0.00172 0.02081 0.05757 0.00432 0.05226 0.14456 182.241714 45.676521
PG-1338+416 -0.01624 0.01772 0.05632 -0.04079 0.04451 0.14143 205.253250 41.387249
PG-1407+265 -0.02561 0.00328 0.05553 -0.06429 0.00823 0.13945 212.349594 26.305834
PG-1522+101 -0.04379 -0.00852 0.04196 -0.10996 -0.02139 0.10535 231.102417 9.974916
PG-1630+377 -0.04339 0.02422 0.03580 -0.10895 0.06081 0.08989 248.004669 37.630554
PG0832+251 0.04582 0.00965 0.03946 0.11507 0.02423 0.09909 128.899170 24.994722
PG0953+414 0.02662 0.01999 0.05140 0.06685 0.05020 0.12907 149.218369 41.256138
PG1001+291 0.02961 0.00720 0.05312 0.07436 0.01809 0.13338 151.010773 28.926439
PG1011-040 0.03142 -0.02695 0.04513 0.07889 -0.06768 0.11333 153.586166 -4.311244
PG1048+342 0.01870 0.01026 0.05740 0.04697 0.02575 0.14414 162.932907 33.990749
PG1049-005 0.02253 -0.02562 0.05086 0.05656 -0.06434 0.12770 162.964340 -0.854925
PG1112+431 0.01221 0.01865 0.05704 0.03065 0.04683 0.14323 168.775208 42.830139
PG1115+407 0.01200 0.01613 0.05785 0.03014 0.04050 0.14525 169.626251 40.431667
PG1116+215 0.01454 -0.00399 0.05936 0.03650 -0.01001 0.14904 169.785828 21.321667
PG1121+422 0.01053 0.01763 0.05769 0.02644 0.04427 0.14487 171.163269 42.029171
PG1126-041 0.01293 -0.03022 0.05167 0.03247 -0.07589 0.12974 172.319702 -4.402083
PG1202+281 0.00318 0.00226 0.06112 0.00799 0.00568 0.15346 181.175995 27.903299
PG1211+143 0.00101 -0.01249 0.05994 0.00254 -0.03136 0.15052 183.573608 14.053653
PG1216+069 -0.00031 -0.02012 0.05784 -0.00077 -0.05052 0.14524 184.837219 6.644033
PG1222+216 -0.00167 -0.00473 0.06103 -0.00420 -0.01189 0.15326 186.226868 21.379539
PG1259+593 -0.00588 0.03378 0.05074 -0.01477 0.08483 0.12740 195.303757 59.035278
PG1352+183 -0.02377 -0.00603 0.05612 -0.05969 -0.01515 0.14091 208.648697 18.088188
PG1411+442 -0.02129 0.02150 0.05324 -0.05346 0.05398 0.13370 213.451370 44.003914
PG1626+554 -0.03085 0.03835 0.03645 -0.07746 0.09629 0.09151 246.983841 55.375420
Q0850+440 0.03442 0.02609 0.04342 0.08642 0.06552 0.10902 133.392670 43.817299
Q1545+210 -0.04533 0.00443 0.04094 -0.11381 0.01111 0.10281 236.931290 20.871250
Q1641+395 -0.04328 0.02666 0.03415 -0.10869 0.06695 0.08574 250.712799 39.402500
QSO-B0844+349 0.03998 0.01812 0.04270 0.10040 0.04549 0.10723 131.926880 34.751221
QSO-B0906+3248 0.03790 0.01446 0.04588 0.09516 0.03631 0.11521 137.275742 32.608360
QSO-B0923+201 0.03932 0.00044 0.04695 0.09874 0.00111 0.11788 141.477997 19.901388
QSO-B0952+457 0.02499 0.02416 0.05042 0.06275 0.06066 0.12661 148.915924 45.538044
QSO-B1115+080A 0.01568 -0.01808 0.05637 0.03938 -0.04541 0.14154 169.570633 7.766167
QSO-B1124+271 0.01196 0.00174 0.06004 0.03002 0.00438 0.15075 171.901596 26.914024
QSO-B1126-041 0.01293 -0.03022 0.05167 0.03247 -0.07589 0.12974 172.319702 -4.402083
QSO-B1139+305 0.00827 0.00503 0.06047 0.02077 0.01264 0.15184 175.551270 30.270323
QSO-B1229+204 -0.00348 -0.00600 0.06085 -0.00873 -0.01506 0.15279 188.015045 20.158167
QSO-B1254+571 -0.00553 0.03179 0.05205 -0.01389 0.07982 0.13070 194.058792 56.873528
QSO-B1307+085 -0.01353 -0.01774 0.05703 -0.03396 -0.04455 0.14321 197.445877 8.330083
QSO-B1309+3531 -0.01170 0.01064 0.05916 -0.02937 0.02672 0.14856 198.073959 35.255859
QSO-B1351+6400 -0.01091 0.03865 0.04623 -0.02740 0.09706 0.11609 208.315994 63.762665
QSO-B1411+4414 -0.02129 0.02150 0.05324 -0.05346 0.05398 0.13370 213.451370 44.003887
QSO-B1440+3539 -0.02932 0.01438 0.05181 -0.07361 0.03610 0.13010 220.531128 35.439724
QSO-B1617+1731 -0.05086 0.00396 0.03388 -0.12771 0.00994 0.08508 245.047043 17.407639
QSO-J1701+6412 -0.02515 0.04580 0.03194 -0.06316 0.11499 0.08021 255.252579 64.202515
QSOB1612+266 -0.04696 0.01235 0.03732 -0.11791 0.03100 0.09372 243.544266 26.547350
RBS711 0.03595 0.02775 0.04108 0.09028 0.06968 0.10316 129.245453 44.433983
RBS971 0.00890 0.02927 0.05305 0.02234 0.07349 0.13322 170.285797 53.855862
RX.J1303.7+2633 -0.01082 0.00125 0.06026 -0.02717 0.00314 0.15132 195.941589 26.553934
RXJ1054.2+3511 0.01792 0.01141 0.05744 0.04500 0.02866 0.14422 163.567459 35.190056
RXJ1119.2+4824 0.01034 0.02409 0.05534 0.02597 0.06050 0.13897 169.812958 48.399223
RXJ1125.0+2513 0.01273 -0.00000 0.05990 0.03196 -0.00000 0.15042 171.265381 25.217333
RXJ1154.1+2521 0.00580 -0.00036 0.06096 0.01456 -0.00090 0.15308 178.533081 25.362612
RXJ1210.7+2725 0.00176 0.00173 0.06119 0.00442 0.00434 0.15365 182.690170 27.426805
RXJ1230.8+0115 -0.00338 -0.02542 0.05561 -0.00848 -0.06383 0.13964 187.708344 1.255972
RXSJ09565-0452 0.03537 -0.02636 0.04249 0.08880 -0.06618 0.10668 149.125748 -4.888055
RXSJ15032+6809 -0.01502 0.04372 0.04017 -0.03772 0.10977 0.10087 225.818329 68.168335
RXSJ16083+6018 -0.02559 0.04079 0.03783 -0.06427 0.10244 0.09499 242.085495 60.307693
SBS0956+509 0.02204 0.02880 0.04934 0.05534 0.07233 0.12391 149.881958 50.746975
SBS1108+560 0.00987 0.03122 0.05175 0.02479 0.07839 0.12995 167.884171 55.790554
SBS1116+523 0.00948 0.02764 0.05382 0.02381 0.06940 0.13514 169.949875 52.097889
SBS1122+594 0.00710 0.03402 0.05042 0.01783 0.08543 0.12661 171.474121 59.172668
SBS1458+534 -0.02371 0.03208 0.04647 -0.05955 0.08054 0.11668 224.956665 53.319168
SBS1518+593 -0.02233 0.03769 0.04279 -0.05606 0.09465 0.10745 229.840210 59.139915
SBS1521+598 -0.02222 0.03821 0.04239 -0.05579 0.09595 0.10643 230.474167 59.672222
SBS1527+564 -0.02517 0.03588 0.04277 -0.06319 0.09010 0.10740 232.281464 56.268196
SBS1551+572 -0.02678 0.03767 0.04017 -0.06724 0.09460 0.10088 238.135620 57.087917
SBS1624+575 -0.02904 0.03969 0.03649 -0.07291 0.09967 0.09164 246.360413 57.457500
SDSS-J093001.90+284858.4 0.03593 0.00921 0.04873 0.09022 0.02313 0.12236 142.507950 28.816223
SDSS-J093706.85+170021.5 0.03785 -0.00334 0.04802 0.09505 -0.00839 0.12059 144.278549 17.006001
SDSS-J100535.24+013445.7 0.03348 -0.02081 0.04687 0.08406 -0.05224 0.11769 151.396912 1.579333
SDSS-J103304.86+211216.1 0.02528 -0.00236 0.05573 0.06347 -0.00593 0.13994 158.270294 21.204489
SDSS-J104741.75+151332.2 0.02273 -0.00928 0.05610 0.05708 -0.02331 0.14087 161.924164 15.225278
SDSS-J113137.16+155645.3 0.01188 -0.00998 0.05924 0.02984 -0.02505 0.14876 172.904846 15.945928
SDSS-J115552.80+292238.4 0.00519 0.00391 0.06089 0.01302 0.00981 0.15291 178.970001 29.377348
SDSS-J124129.64+285212.0 -0.00544 0.00338 0.06090 -0.01367 0.00848 0.15293 190.373535 28.870014
SDSS-J131802.01+262830.3 -0.01415 0.00151 0.05956 -0.03553 0.00378 0.14957 199.508392 26.475109
SDSS-J135424.90+243006.3 -0.02272 0.00070 0.05687 -0.05704 0.00175 0.14279 208.603760 24.501755
SDSS-J135726.27+043541.4 -0.02562 -0.01972 0.05201 -0.06432 -0.04952 0.13060 209.359451 4.594833
SDSS-J141038.39+230447.1 -0.02655 -0.00004 0.05519 -0.06666 -0.00009 0.13858 212.659988 23.079773
SDSS-J141309.14+092011.2 -0.02906 -0.01414 0.05202 -0.07296 -0.03550 0.13063 213.287918 9.336389
SDSS-J145424.33+304658.3 -0.03315 0.01042 0.05043 -0.08324 0.02615 0.12663 223.601410 30.782875
SDSS-J150928.29+070235.7 -0.04131 -0.01266 0.04340 -0.10373 -0.03179 0.10898 227.367874 7.043267
SDSS-J150952.19+111047.0 -0.04091 -0.00848 0.04477 -0.10273 -0.02128 0.11243 227.467468 11.179730
SDSS-J151237.05+012846. -0.04222 -0.01789 0.04059 -0.10602 -0.04491 0.10192 228.154785 1.479445
SDSS-J151507.43+065708.3 -0.04241 -0.01230 0.04244 -0.10648 -0.03089 0.10656 228.780960 6.952325
SDSS-J160519.70+144852.2 -0.04953 -0.00003 0.03601 -0.12437 -0.00008 0.09043 241.332092 14.814520
SDSS.J125846.67+242739.1 -0.00982 -0.00108 0.06044 -0.02466 -0.00270 0.15176 194.694412 24.460884
SDSS.J130429.04+311308.2 -0.01051 0.00622 0.06001 -0.02638 0.01563 0.15069 196.120956 31.218952
SDSS104741.75+151332.3 0.02273 -0.00928 0.05610 0.05708 -0.02331 0.14087 161.923965 15.225639
SDSSJ080359.23+433258.4 0.03974 0.02937 0.03617 0.09979 0.07375 0.09083 120.996803 43.549561
SDSSJ080908.13+461925.6 0.03743 0.03130 0.03701 0.09399 0.07858 0.09293 122.283897 46.323799
SDSSJ082024.21+233450.4 0.04833 0.00962 0.03635 0.12137 0.02417 0.09128 125.100922 23.580692
SDSSJ082633.51+074248.3 0.05141 -0.00665 0.03260 0.12910 -0.01669 0.08186 126.639603 7.713400
SDSSJ084349.49+411741.6 0.03703 0.02448 0.04219 0.09298 0.06148 0.10593 130.956146 41.294899
SDSSJ085116.14+424328.8 0.03532 0.02526 0.04318 0.08869 0.06344 0.10843 132.817276 42.724701
SDSSJ091029.75+101413.6 0.04402 -0.00813 0.04179 0.11054 -0.02042 0.10494 137.623993 10.237114
SDSSJ091052.80+333008.0 0.03724 0.01521 0.04617 0.09352 0.03819 0.11594 137.720215 33.502224
SDSSJ091127.30+325337.0 0.03741 0.01457 0.04624 0.09395 0.03659 0.11611 137.863663 32.893612
SDSSJ091235.42+295725.4 0.03842 0.01159 0.04626 0.09648 0.02910 0.11615 138.147598 29.957100
SDSSJ091440.38+282330.6 0.03867 0.00987 0.04644 0.09711 0.02480 0.11662 138.668289 28.391838
SDSSJ092554.43+453544.4 0.02926 0.02575 0.04723 0.07348 0.06465 0.11861 141.476852 45.595699
SDSSJ092554.70+400414.1 0.03200 0.02057 0.04799 0.08036 0.05166 0.12050 141.477936 40.070587
SDSSJ092837.98+602521.0 0.02038 0.03822 0.04330 0.05117 0.09596 0.10872 142.158264 60.422504
SDSSJ092909.79+464424.0 0.02822 0.02661 0.04739 0.07087 0.06683 0.11899 142.290756 46.740002
SDSSJ093518.19+020415.5 0.03993 -0.01821 0.04271 0.10026 -0.04573 0.10726 143.825806 2.070978
SDSSJ094331.61+053131.4 0.03808 -0.01542 0.04541 0.09563 -0.03873 0.11403 145.881729 5.525414
SDSSJ094733.21+100508.7 0.03684 -0.01114 0.04764 0.09250 -0.02797 0.11962 146.888397 10.085800
SDSSJ094840.08+580039.1 0.01970 0.03552 0.04583 0.04946 0.08920 0.11508 147.167007 58.010899
SDSSJ094952.91+390203.9 0.02868 0.01819 0.05096 0.07201 0.04566 0.12797 147.470551 39.034401
SDSSJ095000.73+483129.3 0.02443 0.02720 0.04913 0.06136 0.06830 0.12336 147.503082 48.524818
SDSSJ095109.12+330745.8 0.03069 0.01223 0.05156 0.07707 0.03071 0.12948 147.788025 33.129391
SDSSJ095915.65+050355.1 0.03476 -0.01697 0.04748 0.08727 -0.04261 0.11923 149.815201 5.065300
SDSSJ100102.55+594414.3 0.01739 0.03651 0.04599 0.04366 0.09167 0.11549 150.261002 59.737301
SDSSJ100902.06+071343.8 0.03245 -0.01543 0.04959 0.08149 -0.03876 0.12451 152.258621 7.228853
SDSSJ101622.60+470643.3 0.02112 0.02474 0.05189 0.05304 0.06212 0.13028 154.094177 47.112038
SDSSJ102218.99+013218.8 0.02965 -0.02185 0.04893 0.07445 -0.05486 0.12286 155.579132 1.538561
SDSSJ10282+2119 0.02633 -0.00199 0.05526 0.06611 -0.00500 0.13875 157.060608 21.331995
SDSSJ104709.83+130454.6 0.02307 -0.01148 0.05555 0.05794 -0.02884 0.13949 161.790985 13.081853
SDSSJ104816.25+120734.7 0.02289 -0.01252 0.05540 0.05749 -0.03143 0.13912 162.067719 12.126322
SDSSJ104843.49+130605.9 0.02270 -0.01153 0.05570 0.05699 -0.02895 0.13986 162.181229 13.101642
SDSSJ105945.23+144142.9 0.01988 -0.01032 0.05700 0.04992 -0.02592 0.14312 164.938507 14.695300
SDSSJ105958.82+251708.8 0.01853 0.00082 0.05836 0.04653 0.00205 0.14655 164.995499 25.285801
SDSSJ110052.33+283801.2 0.01779 0.00432 0.05844 0.04468 0.01085 0.14674 165.218002 28.633722
SDSSJ110307.57+291230.0 0.01720 0.00485 0.05858 0.04318 0.01219 0.14708 165.781601 29.208471
SDSSJ110312.93+414154.9 0.01469 0.01781 0.05672 0.03690 0.04472 0.14243 165.804001 41.698601
SDSSJ110406.94+314111.4 0.01655 0.00743 0.05849 0.04156 0.01866 0.14687 166.029007 31.686501
SDSSJ110612.25+292730.6 0.01647 0.00502 0.05877 0.04137 0.01260 0.14757 166.550995 29.458500
SDSSJ111239.11+353928.2 0.01404 0.01134 0.05852 0.03525 0.02848 0.14695 168.162964 35.657845
SDSSJ111443.70+525834.0 0.01008 0.02856 0.05323 0.02531 0.07172 0.13365 168.681793 52.976196
SDSSJ111740.50+530150.0 0.00961 0.02856 0.05332 0.02414 0.07171 0.13388 169.418671 53.030918
SDSSJ111754.31+263416.6 0.01424 0.00162 0.05954 0.03576 0.00407 0.14950 169.475998 26.571301
SDSSJ112114.22+032546.7 0.01504 -0.02251 0.05493 0.03776 -0.05653 0.13793 170.308502 3.429700
SDSSJ112244.89+575543.0 0.00779 0.03296 0.05102 0.01956 0.08276 0.12812 170.686493 57.928600
SDSSJ113327.78+032719.1 0.01185 -0.02280 0.05559 0.02977 -0.05725 0.13958 173.365784 3.455325
SDSSJ113457.62+255527.9 0.01033 0.00053 0.06036 0.02593 0.00134 0.15157 173.740494 25.924400
SDSSJ114646.00+371511.0 0.00666 0.01234 0.05961 0.01673 0.03097 0.14969 176.691666 37.253056
SDSSJ115758.72-002220.8 0.00539 -0.02693 0.05474 0.01354 -0.06762 0.13744 179.494705 -0.372472
SDSSJ120556.08+104253.8 0.00322 -0.01592 0.05905 0.00808 -0.03999 0.14827 181.483704 10.714970
SDSSJ120720.99+262429.1 0.00259 0.00065 0.06118 0.00651 0.00164 0.15363 181.837494 26.408100
SDSSJ121037.56+315706.0 0.00172 0.00655 0.06086 0.00431 0.01645 0.15283 182.656494 31.951700
SDSSJ121114.56+365739.5 0.00148 0.01184 0.06007 0.00372 0.02973 0.15083 182.811005 36.960999
