NSAID x y z rvir redshift log_sSFR color
2563 0.29015 -0.24860 0.55965 0.91919 0.02258 -9.30 blue
3088 0.20939 -0.22261 0.47303 1.11749 0.01882 -9.60 blue
2560 0.27696 -0.23918 0.53507 1.57363 0.02161 -9.62 blue
2642 0.24305 -0.24928 0.53401 0.89632 0.02126 -9.70 blue
3045 0.28269 -0.30845 0.63655 0.93222 0.02533 -9.43 blue
2793 0.27811 -0.24925 0.56284 1.24414 0.02251 -9.86 blue
2955 0.28424 -0.32394 0.66644 0.87441 0.02637 -9.56 blue
3123 0.21072 -0.22305 0.47451 1.19281 0.01888 -10.30 blue
2982 0.28504 -0.31936 0.65817 0.86868 0.02609 -9.64 blue
654881 0.20283 -0.22983 0.48067 0.86863 0.01905 -11.50 red
2950 0.28267 -0.31933 0.65752 1.01489 0.02605 -9.78 blue
2613 0.27473 -0.23754 0.53809 1.47458 0.02165 -9.91 blue
4694 0.18780 -0.30148 0.65741 1.73138 0.02486 -11.85 red
624646 0.27301 -0.23686 0.54178 1.09321 0.02171 -10.02 blue
3151 0.21507 -0.22324 0.47986 1.01112 0.01908 -9.45 blue
3049 0.30400 -0.32966 0.68523 1.42646 0.02719 -10.38 blue
3161 0.27665 -0.29307 0.59637 1.17476 0.02396 -9.62 blue
4502 0.17727 -0.30834 0.65795 1.77636 0.02488 -12.47 red
5171 0.15895 -0.30731 0.68073 1.46702 0.02539 -9.66 blue
3390 0.26282 -0.32483 0.66668 1.25049 0.02615 -9.80 blue
3495 0.27545 -0.31200 0.67188 0.88439 0.02626 -10.86 red
3452 0.26209 -0.31368 0.66721 0.81188 0.02601 -9.42 blue
5589 0.14654 -0.32058 0.71086 1.46789 0.02636 -9.72 blue
5798 0.10565 -0.24327 0.49901 0.82269 0.01888 -9.52 blue
3674 0.27020 -0.30753 0.67329 1.15021 0.02619 -9.74 blue
2565 0.27386 -0.23906 0.53261 1.64171 0.02150 -10.19 blue
6002 0.09387 -0.34691 0.73304 0.98985 0.02711 -9.53 blue
3398 0.26140 -0.32006 0.66557 1.26763 0.02604 -9.81 blue
656389 0.23915 -0.31526 0.67810 1.13766 0.02609 -9.72 blue
3767 0.18980 -0.26664 0.55304 1.53537 0.02143 -10.21 blue
3500 0.28247 -0.32732 0.67234 1.10935 0.02656 -9.61 blue
3865 0.20568 -0.26371 0.55115 0.89575 0.02150 -9.71 blue
3929 0.26182 -0.32121 0.66772 1.21759 0.02612 -10.24 blue
4722 0.18132 -0.30069 0.66643 1.42771 0.02505 -10.25 blue
4893 0.17735 -0.34869 0.71549 1.72319 0.02708 -13.45 red
3499 0.28225 -0.32575 0.66486 1.09709 0.02633 -9.58 blue
5369 0.15009 -0.31469 0.65016 3.86707 0.02455 -10.36 blue
4203 0.16038 -0.23880 0.50953 0.95948 0.01954 -9.89 blue
4117 0.23080 -0.30925 0.67865 1.40022 0.02595 -12.63 red
4827 0.14990 -0.31140 0.66534 1.22598 0.02494 -10.44 blue
5210 0.14696 -0.29949 0.65622 1.59166 0.02449 -10.95 red
4683 0.19039 -0.30618 0.66226 1.00710 0.02508 -9.35 blue
4097 0.23383 -0.31036 0.68194 1.04336 0.02608 -9.57 blue
4729 0.18363 -0.29834 0.66975 1.23005 0.02514 -9.60 blue
3635 0.27274 -0.29839 0.67685 0.85648 0.02620 -8.62 blue
4244 0.18927 -0.26972 0.55344 0.92136 0.02148 -9.72 blue
4458 0.18408 -0.32353 0.65826 0.95319 0.02515 -9.94 blue
5268 0.14128 -0.31366 0.64922 1.80426 0.02445 -10.67 red
5455 0.14273 -0.28905 0.63537 0.99395 0.02372 -10.55 red
5159 0.11964 -0.23663 0.51123 1.10681 0.01924 -9.86 blue
4949 0.18999 -0.35466 0.73422 0.91293 0.02779 -10.04 blue
4256 0.16468 -0.22973 0.49327 0.72333 0.01899 -9.09 blue
664834 0.01779 -0.25795 0.56253 1.64643 0.02066 -10.72 red
4868 0.18097 -0.34741 0.72113 1.36570 0.02725 -10.12 blue
4658 0.19816 -0.30705 0.68341 0.94222 0.02576 -9.79 blue
6395 0.06089 -0.26183 0.54217 0.92968 0.02020 -10.11 blue
4932 0.18698 -0.34863 0.73416 0.85408 0.02768 -9.21 blue
5920 0.09597 -0.23630 0.53456 0.88450 0.01978 -10.28 blue
4714 0.13940 -0.23011 0.49932 1.06260 0.01895 -9.63 blue
4158 0.15821 -0.24584 0.51109 1.41391 0.01966 -11.64 red
6719 0.05766 -0.34903 0.72514 1.12891 0.02680 -9.98 blue
6137 0.11567 -0.31078 0.70066 1.25196 0.02577 -9.72 blue
4706 0.19125 -0.30584 0.67034 1.53838 0.02531 -9.88 blue
5996 0.06841 -0.25345 0.52492 1.76453 0.01960 -11.11 red
4826 0.15180 -0.31615 0.67711 1.05001 0.02536 -9.36 blue
4909 0.17047 -0.32522 0.68257 1.02008 0.02576 -9.35 blue
